candles,code,message,s
"[1736229900, 23760.25, 23766.3, 23754.4, 23754.4, 0]",200,,ok
"[1736230200, 23754.3, 23759.5, 23744.4, 23744.45, 0]",200,,ok
"[1736230500, 23745.1, 23751.95, 23736.05, 23740.1, 0]",200,,ok
"[1736230800, 23739.9, 23759.35, 23739.65, 23757.7, 0]",200,,ok
"[1736231100, 23758.45, 23761.55, 23737.4, 23738.3, 0]",200,,ok
"[1736231400, 23738.75, 23743.8, 23722, 23728.45, 0]",200,,ok
"[1736231700, 23728.95, 23740.8, 23724.95, 23731.35, 0]",200,,ok
"[1736232000, 23731.15, 23733.85, 23712.95, 23720, 0]",200,,ok
"[1736232300, 23720.55, 23731.1, 23715.3, 23718, 0]",200,,ok
"[1736232600, 23718.1, 23719.5, 23708.5, 23717.6, 0]",200,,ok
"[1736232900, 23717.6, 23729.15, 23715.55, 23720.4, 0]",200,,ok
"[1736233200, 23720.8, 23735.8, 23717.6, 23728.6, 0]",200,,ok
"[1736233500, 23728.9, 23735.7, 23719.15, 23720.95, 0]",200,,ok
"[1736233800, 23720.95, 23735.5, 23718.35, 23731.35, 0]",200,,ok
"[1736234100, 23731.65, 23742.7, 23724.5, 23736.95, 0]",200,,ok
